incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
" Bridge Fire",True,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z," Shasta-Trinity National Forest ",,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37,100,," Shasta-Trinity National Forest ",-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-31,N,False,False
Pala Fire,True,2020-09-16T14:07:35Z,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122,100,,CAL FIRE San Diego Unit,1,1,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,2009-05-25,2009-05-24,N,True,False
River Fire,True,2013-02-28T20:00:00Z,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",406,100,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,2013-02-28,2013-02-24,N,True,False
Fawnskin Fire,True,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z,San Bernardino National Forest,,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30,100,,San Bernardino National Forest,-116.941311,34.288877,,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22T09:00:00Z,2013-04-22,2013-04-20,N,False,False
Gold Fire,True,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01T07:00:00Z,2013-05-01,2013-04-30,N,True,False
Panther Fire,True,2013-05-09T09:00:00Z,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6965,100,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,2013-05-09,2013-05-01,N,True,False
Silverado Fire,True,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"7300 block of Silverado Trail, north of Napa",75,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01T17:15:00Z,2013-05-01,2013-04-30,N,True,False
Yellow Fire,True,2013-05-03T06:15:00Z,2013-05-01T02:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03T06:15:00Z,2013-05-03,2013-05-01,N,True,False
Summit Fire,True,2013-05-04T18:30:00Z,2013-05-01T12:38:00Z,"CAL FIRE/Riverside County Fire ",,Riverside,Mias Canyon and Bluff Road in Banning,3166,100,,"CAL FIRE/Riverside County Fire ",-116.941311,34.288877,,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,2013-05-04,2013-05-01,N,True,False
Tres Pinos Fire,True,2013-05-03T18:45:00Z,2013-05-03T11:42:00Z,"CAL FIRE San Benito-Monterey ",,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354,100,,"CAL FIRE San Benito-Monterey ",-120.937494,37.160346,,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03T18:45:00Z,2013-05-03,2013-05-03,N,True,False
306 Fire,True,2013-05-05T18:00:00Z,2013-05-01T19:00:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,2 miles south of the community of Elk Creek,217,100,,CAL FIRE Tehama-Glenn Unit,-122.560862,39.514139,,5649e78d-7c26-4698-89a0-b0fa9a35cf78,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/,2013-05-05T18:00:00Z,2013-05-05,2013-05-01,N,True,False
Lytle Fire,True,2013-05-15T08:15:00Z,2013-05-13T13:30:00Z,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",,San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",75,100,,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,,e2c4b308-9a2d-483b-8434-999bef9adc7c,https://www.fire.ca.gov/incidents/2013/5/13/lytle-fire/,2013-05-15T08:15:00Z,2013-05-15,2013-05-13,N,True,False
Gorgonio Fire,True,2013-05-05T18:45:00Z,2013-05-04T11:43:00Z,CAL FIRE/Riverside County Fire,,Riverside,"Highway 243, south of Banning and north of Pine Cove",510,100,,CAL FIRE/Riverside County Fire,-116.855019,33.894055,,958ce6d2-97f9-4848-8620-d14ab87f329d,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/,2013-05-05T18:45:00Z,2013-05-05,2013-05-04,N,True,False
Grand Fire,True,2013-05-21T19:45:00Z,2013-05-15T12:50:00Z,CAL FIRE / USFS Los Padres National Forest,,"Kern, Ventura","South of Frazier Mountain Park Rd, South of Frazier Park",4346,100,,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,,e0d038e9-0926-4c05-8317-ec7075a04b12,https://www.fire.ca.gov/incidents/2013/5/15/grand-fire/,2013-05-21T19:45:00Z,2013-05-21,2013-05-15,N,True,False
54 Fire,True,2013-05-17T08:30:00Z,2013-05-16T13:48:00Z,CAL FIRE Riverside Unit,,Riverside,"Avenue 54 and Tyler Street, near the community of Coachella",40,100,,CAL FIRE Riverside Unit,-116.161201,33.655638,,e215290f-d0b4-48fd-be32-f599959347b1,https://www.fire.ca.gov/incidents/2013/5/16/54-fire/,2013-05-17T08:30:00Z,2013-05-17,2013-05-16,N,True,False
Lake Fire,True,2013-05-18T19:00:00Z,2013-05-17T13:23:00Z,"CAL FIRE/Los Angeles County ",,Los Angeles,I-5 Southbound at Lake Hughes Road,712,100,,"CAL FIRE/Los Angeles County ",-118.610044,34.49149,,39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,2013-05-18T19:00:00Z,2013-05-18,2013-05-17,N,True,False
Lilly 2 Fire,True,2013-05-20T19:10:00Z,2013-05-19T15:07:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,91,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,,2b765a08-c770-4b19-baa8-00dffe3fa838,https://www.fire.ca.gov/incidents/2013/5/19/lilly-2-fire/,2013-05-20T19:10:00Z,2013-05-20,2013-05-19,N,True,False
Cottontail Fire,True,2013-05-20T19:10:00Z,2013-05-20T15:45:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35,100,,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,,f17c523c-bf01-4245-899b-7c2331096dae,https://www.fire.ca.gov/incidents/2013/5/20/cottontail-fire/,2013-05-20T19:10:00Z,2013-05-20,2013-05-20,N,True,False
Cherry Fire,True,2013-05-20T18:50:00Z,2013-05-20T13:47:00Z,CAL FIRE Riverside Unit,,Riverside,Off Sunset Ave & Mesa St in Banning,25,100,,CAL FIRE Riverside Unit,-116.907213,33.96201,,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,https://www.fire.ca.gov/incidents/2013/5/20/cherry-fire/,2013-05-20T18:50:00Z,2013-05-20,2013-05-20,N,True,False
Water Fire,True,2013-05-21T19:30:00Z,2013-05-21T14:16:00Z,"CAL FIRE/Riverside County Fire ",,Riverside,Off Whitewater Canyon Road in Whitewater,90,100,,"CAL FIRE/Riverside County Fire ",-116.6534,33.9582,,13850faa-5bab-4fd7-bac3-433ce9250c4d,https://www.fire.ca.gov/incidents/2013/5/21/water-fire/,2013-05-21T19:30:00Z,2013-05-21,2013-05-21,N,True,False
Shelton Fire,True,2013-05-30T13:25:00Z,2013-05-30T11:20:00Z,"CAL FIRE Tuolumne-Calaveras Unit ",,San Joaquin,off North Shelton Rd in the Linden Peters area,303,100,,"CAL FIRE Tuolumne-Calaveras Unit ",-120.90325,38.04993,,0b51d59b-457d-4a62-b066-55c2b8d400e2,https://www.fire.ca.gov/incidents/2013/5/30/shelton-fire/,2013-05-30T13:25:00Z,2013-05-30,2013-05-30,N,True,False
Border Fire,True,2013-05-23T08:30:00Z,2013-05-22T16:14:00Z,CAL FIRE San Diego Unit,,San Diego,Off Alta Rd in the Otay Mesa area,100,100,,CAL FIRE San Diego Unit,-116.900368,32.564465,,e077e091-f890-477c-b948-eb23774b432e,https://www.fire.ca.gov/incidents/2013/5/22/border-fire/,2013-05-23T08:30:00Z,2013-05-23,2013-05-22,N,True,False
San Felipe Fire,True,2013-05-26T17:45:00Z,2013-05-23T12:20:00Z,CAL FIRE San Diego Unit,,San Diego,"San Felipe Road, north of Highway 78, East of Julian",2781,100,,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",-116.52579,33.12111,,859479e3-918c-42c6-bb74-5fdc17930a16,https://www.fire.ca.gov/incidents/2013/5/23/san-felipe-fire/,2013-05-26T17:45:00Z,2013-05-26,2013-05-23,N,True,False
Homestead Fire,True,2013-05-25T18:45:00Z,2013-05-25T17:35:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Homestead Rd & Hwy 41, northeast of Atascadero ",50,100,,CAL FIRE San Luis Obispo Unit,-120.6368,35.5123,,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,https://www.fire.ca.gov/incidents/2013/5/25/homestead-fire/,2013-05-25T18:45:00Z,2013-05-25,2013-05-25,N,True,False
Smiley Fire,True,2013-05-25T23:00:00Z,2013-05-25T14:59:00Z,CAL FIRE/Riverside County Fire,,Riverside,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",124,100,,CAL FIRE/Riverside County Fire,-117.187934,33.963591,,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,https://www.fire.ca.gov/incidents/2013/5/25/smiley-fire/,2013-05-25T23:00:00Z,2013-05-25,2013-05-25,N,True,False
General Fire,True,2013-05-31T06:15:00Z,2013-05-26T12:04:00Z,CAL FIRE San Diego Unit,,San Diego,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",1271,100,,CAL FIRE San Diego Unit,-116.5209,33.04458,,07a5397c-a665-4f84-9a82-5f689cb2c8f3,https://www.fire.ca.gov/incidents/2013/5/26/general-fire/,2013-05-31T06:15:00Z,2013-05-31,2013-05-26,N,True,False
White Fire,True,2013-05-30T19:30:00Z,2013-05-27T14:45:00Z,USFS Los Padres National Forest,,Santa Barbara,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",1984,100,,USFS Los Padres National Forest,-119.82429,34.55048,,abc61995-8bea-4be1-aa49-ee378ab3baaa,https://www.fire.ca.gov/incidents/2013/5/27/white-fire/,2013-05-30T19:30:00Z,2013-05-30,2013-05-27,N,False,False
Magic Fire,True,2013-05-29T15:30:00Z,2013-05-28T11:30:00Z,Los Angeles County Fire Department,,Los Angeles,off Magic Mtn Parkway in Valencia,149,100,,Los Angeles County Fire Department,-118.58688,34.419284,,794412f2-1ba2-4217-ac38-49272a96fb6f,https://www.fire.ca.gov/incidents/2013/5/28/magic-fire/,2013-05-29T15:30:00Z,2013-05-29,2013-05-28,N,True,False
Olive Fire,True,2013-05-29T10:30:00Z,2013-05-28T15:24:00Z,Santa Barbara County Fire,,Santa Barbara,"Hwy 246 and Meadowvale, East of Solvang ",170,100,,Santa Barbara County Fire,-120.074655,34.611824,,cb5f34a0-177e-445d-9349-dd94063a01d0,https://www.fire.ca.gov/incidents/2013/5/28/olive-fire/,2013-05-29T10:30:00Z,2013-05-29,2013-05-28,N,True,False
Branch Fire,True,2013-06-03T18:30:00Z,2013-06-01T17:27:00Z,Los Padres National Forest,,San Luis Obispo,"west of the Carrizo Plain, Los Padres National Forest",500,100,,Los Padres National Forest,-120.05131,35.15832,,213dc89e-9f29-4480-91a6-aec5fb694999,https://www.fire.ca.gov/incidents/2013/6/1/branch-fire/,2013-06-03T18:30:00Z,2013-06-03,2013-06-01,N,False,False
Murphy Fire,True,2013-06-02T16:55:00Z,2013-06-02T13:30:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,off Lime Kiln Rd,100,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.33313,37.91529,,98bfbb7c-8446-4e2e-a268-7e961353723c,https://www.fire.ca.gov/incidents/2013/6/2/murphy-fire/,2013-06-02T16:55:00Z,2013-06-02,2013-06-02,N,True,False
Lone Fire,True,2013-06-03T20:00:00Z,2013-06-03T13:49:00Z,CAL FIRE Butte Unit,,Butte,Palermo Road and Lone Tree Road near Palermo,298,100,All road closures have been lifted.,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.576804,39.434183,,1a5192f1-bc99-4130-8683-381e0534b76a,https://www.fire.ca.gov/incidents/2013/6/3/lone-fire/,2013-06-03T20:00:00Z,2013-06-03,2013-06-03,N,True,False
Hathaway Fire,True,2013-06-09T16:45:00Z,2013-06-09T12:30:00Z,USFS San Bernardino National Forest,,Riverside,"Hathaway Canyon area, northeast of Banning",0,100,,USFS San Bernardino National Forest,-116.84137,33.99647,,befb9d5c-c0ea-48b8-8589-2586be0275af,https://www.fire.ca.gov/incidents/2013/6/9/hathaway-fire/,2013-06-09T16:45:00Z,2013-06-09,2013-06-09,N,False,False
Sonoma-Lake-Napa Unit Lightning Fires,True,2013-06-14T15:45:00Z,2013-06-10T00:46:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"Sonoma, Solano, Lake, Colusa","throughout Sonoma, Solano, Lake & Colusa Counties",28,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.0437,38.4229,,5ce45b6c-81b5-422c-9078-8c68dd872c8a,https://www.fire.ca.gov/incidents/2013/6/10/sonoma-lake-napa-unit-lightning-fires/,2013-06-14T15:45:00Z,2013-06-14,2013-06-10,N,True,False
152 Fire,True,2013-06-05T08:30:00Z,2013-06-04T15:42:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Merced,Hwy 152 in San Luis Creek Reservoir,124,100,,CAL FIRE Madera-Mariposa-Merced Unit,-121.006939,37.03776,,f9e85371-fc46-4f54-822c-7dcdaadde551,https://www.fire.ca.gov/incidents/2013/6/4/152-fire/,2013-06-05T08:30:00Z,2013-06-05,2013-06-04,N,True,False
Lake Fire,True,2013-06-06T07:00:00Z,2013-06-05T16:05:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,Lakeshore Drive and Patterson Drive in Clearlake Oaks,30,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.703193,38.99233,,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,https://www.fire.ca.gov/incidents/2013/6/5/lake-fire/,2013-06-06T07:00:00Z,2013-06-06,2013-06-05,N,True,False
Powerhouse Fire,True,2013-06-08T18:30:00Z,2013-05-30T15:28:00Z,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,Los Angeles,Angeles National Forest,30274,100,,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,,bf37805e-1cc2-4208-9972-753e47874c87,https://www.fire.ca.gov/incidents/2013/5/30/powerhouse-fire/,2013-06-08T18:30:00Z,2013-06-08,2013-05-30,N,True,False
Vasco Fire,True,2013-06-08T13:25:00Z,2013-06-08T10:16:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Vasco Road & North Vasco Road, north of Livermore",240,100,,CAL FIRE Santa Clara Unit,-121.737213,37.775057,,2ad509e4-99f1-4e1a-81eb-839f772f9c45,https://www.fire.ca.gov/incidents/2013/6/8/vasco-fire/,2013-06-08T13:25:00Z,2013-06-08,2013-06-08,N,True,False
Viper Fire,True,2013-06-08T19:00:00Z,2013-06-08T15:37:00Z,CAL FIRE/Riverside County Fire,,Riverside,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",42,100,,CAL FIRE/Riverside County Fire,-117.1265,33.96936,,e9505435-e861-4f33-9069-b0040fb2a135,https://www.fire.ca.gov/incidents/2013/6/8/viper-fire/,2013-06-08T19:00:00Z,2013-06-08,2013-06-08,N,True,False
Northern California Lightning Activity,True,2013-06-14T16:30:00Z,2013-06-10T00:46:00Z,California Northern Region,,,Across Northern California,60,100,,California Northern Region,-121.5747,39.9845,,369e41d4-75a6-4be0-a38a-5f7450553631,https://www.fire.ca.gov/incidents/2013/6/10/northern-california-lightning-activity/,2013-06-14T16:30:00Z,2013-06-14,2013-06-10,N,True,False
Roadrunner Fire,True,2013-06-13T09:45:00Z,2013-06-12T16:43:00Z,CAL FIRE Amador-El Dorado Unit,,Amador,"Roadrunner Drive, south of Ione",96,100,,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,https://www.fire.ca.gov/incidents/2013/6/12/roadrunner-fire/,2013-06-13T09:45:00Z,2013-06-13,2013-06-12,N,True,False
Revis Fire,True,2013-06-14T16:30:00Z,2013-06-12T16:40:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,75,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.75636,37.169379,,7055a440-5d4c-4f58-bac9-2954ff6698a5,https://www.fire.ca.gov/incidents/2013/6/12/revis-fire/,2013-06-14T16:30:00Z,2013-06-14,2013-06-12,N,True,False
Clinton Fire,True,2013-06-13T21:30:00Z,2013-06-13T11:54:00Z,CAL FIRE/Fresno County Fire,,Fresno,"Clinton and Highland, East of Fresno",108,100,,CAL FIRE/Fresno County Fire,-119.628389,36.772425,,a2cfda2a-21c1-4e45-90b5-37d931b4a926,https://www.fire.ca.gov/incidents/2013/6/13/clinton-fire/,2013-06-13T21:30:00Z,2013-06-13,2013-06-13,N,True,False
Carstens Fire,True,2013-06-26T11:15:00Z,2013-06-16T14:12:00Z,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ",,Mariposa,"Off Carstens Road, east of 140 in the Midpines area.",1708,100,,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",-119.91071,37.58202,,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,https://www.fire.ca.gov/incidents/2013/6/16/carstens-fire/,2013-06-26T11:15:00Z,2013-06-26,2013-06-16,N,True,False
PFE Fire,True,2013-06-13T14:15:00Z,2013-06-13T11:28:00Z,CAL FIRE/Placer County Fire,,Placer,"PFE Road and Watt Avenue, West Roseville",237,100,,CAL FIRE/Placer County Fire,-121.380862,38.729297,,fe47b1c2-b9c0-44be-8d10-f270056db35c,https://www.fire.ca.gov/incidents/2013/6/13/pfe-fire/,2013-06-13T14:15:00Z,2013-06-13,2013-06-13,N,True,False
Michelle Fire,True,2013-06-13T21:30:00Z,2013-06-13T15:54:00Z,CAL FIRE/Fresno County Fire,,Fresno,"off McKinley Ave & Academy Ave, north of Sanger ",35,100,,CAL FIRE/Fresno County Fire,-119.558244,36.763367,,953f17a1-2034-467b-b48c-28da1a9af60e,https://www.fire.ca.gov/incidents/2013/6/13/michelle-fire/,2013-06-13T21:30:00Z,2013-06-13,2013-06-13,N,True,False
Palmyrita Fire,True,2013-06-15T08:00:00Z,2013-06-14T13:47:00Z,CAL FIRE/Riverside County Fire,,Riverside,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",40,100,,CAL FIRE/Riverside County Fire,-117.302057,34.001745,,2d1f0c40-92e7-4540-991b-d353ed68ec6c,https://www.fire.ca.gov/incidents/2013/6/14/palmyrita-fire/,2013-06-15T08:00:00Z,2013-06-15,2013-06-14,N,True,False
Rolling Fire,True,2013-06-18T19:30:00Z,2013-06-16T18:17:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,"off Hwy 41 & Road 145, northwest of Friant ",482,100,,CAL FIRE Madera-Mariposa-Merced Unit,-119.78106,37.015575,,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,https://www.fire.ca.gov/incidents/2013/6/16/rolling-fire/,2013-06-18T19:30:00Z,2013-06-18,2013-06-16,N,True,False
California Fire,True,2013-06-18T22:30:00Z,2013-06-18T15:18:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Solano,"Off Lake Herman Rd, west of Hwy 680 in Benicia",124,100,,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,,2b403f03-fe84-450a-90b7-befb8acc7e70,https://www.fire.ca.gov/incidents/2013/6/18/california-fire/,2013-06-18T22:30:00Z,2013-06-18,2013-06-18,N,True,False
Sierra Fire,True,2013-06-19T08:45:00Z,2013-06-17T14:41:00Z,CAL FIRE/Fresno County Fire,,Fresno,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",46,100,,CAL FIRE/Fresno County Fire,-119.463757,37.03087,,15e7e15d-f707-473e-b0f3-6534cfd845b7,https://www.fire.ca.gov/incidents/2013/6/17/sierra-fire/,2013-06-19T08:45:00Z,2013-06-19,2013-06-17,N,True,False
George Fire,True,2013-06-25T17:15:00Z,2013-06-25T13:36:00Z,CAL FIRE/Fresno County Fire,,Fresno,off Bronco Lane in Squaw Valley,150,100,,CAL FIRE/Fresno County Fire,-119.2248,36.7218,,23ec2f69-da30-4983-80c2-1f04bfea6f9a,https://www.fire.ca.gov/incidents/2013/6/25/george-fire/,2013-06-25T17:15:00Z,2013-06-25,2013-06-25,N,True,False
Mount Fire,True,2013-06-20T13:15:00Z,2013-06-20T14:29:00Z,CAL FIRE Sanoma-Lake-Napa Unit,,Lake,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",25,100,,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796,38.98058,,d489b45e-dcba-4eaa-8bb5-6a23255562da,https://www.fire.ca.gov/incidents/2013/6/20/mount-fire/,2013-06-20T13:15:00Z,2013-06-20,2013-06-20,N,True,False
Mills Fire,True,2013-07-01T06:00:00Z,2013-06-28T14:30:00Z,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,San Bernardino,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",534,100,,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,,6011819c-19ac-46c2-aa48-0ee8be0e48c0,https://www.fire.ca.gov/incidents/2013/6/28/mills-fire/,2013-07-01T06:00:00Z,2013-07-01,2013-06-28,N,True,False
Concord Fire,True,2013-07-01T18:30:00Z,2013-07-01T15:41:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,off Concord Ave & Vineyard Parkway in Brentwood,274,100,,CAL FIRE Santa Clara Unit,-121.74367,39.90465,,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,https://www.fire.ca.gov/incidents/2013/7/1/concord-fire/,2013-07-01T18:30:00Z,2013-07-01,2013-07-01,N,True,False
Freeman Fire,True,2013-06-29T18:30:00Z,2013-06-29T14:09:00Z,"CAL FIRE San Benito-Monterey Unit ",,Monterey,"off Hwy 198, 10 miles east of King City",105,100,,"CAL FIRE San Benito-Monterey Unit ",-120.8973,36.1531,,58317b8d-7f4d-466f-b2c7-035c25fb00f0,https://www.fire.ca.gov/incidents/2013/6/29/freeman-fire/,2013-06-29T18:30:00Z,2013-06-29,2013-06-29,N,True,False
Kirker Fire,True,2013-07-01T18:40:00Z,2013-07-01T13:19:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,Kirker Pass Road south of Pittsburg,492,100,,CAL FIRE Santa Clara Unit,-121.91453,37.96866,,522114fe-ada8-49a9-9bb2-5891103ff0ca,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/,2013-07-01T18:40:00Z,2013-07-01,2013-07-01,N,True,False
Northern Region July Lightning,True,2013-07-04T10:45:00Z,2013-07-02T12:00:00Z,CAL FIRE Northern Region,,,Throughout northeastern California,754,100,,CAL FIRE Northern Region,-121.5747,39.9845,,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5,https://www.fire.ca.gov/incidents/2013/7/2/northern-region-july-lightning/,2013-07-04T10:45:00Z,2013-07-04,2013-07-02,N,True,False
Fox Fire (formally 3-7 Fire),True,2013-07-05T18:30:00Z,2013-07-03T22:56:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,5 miles northwest of Aiden,502,100,,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,,8b51033d-abc6-4ea4-8983-990ad4e1c45e,https://www.fire.ca.gov/incidents/2013/7/3/fox-fire-formally-3-7-fire/,2013-07-05T18:30:00Z,2013-07-05,2013-07-03,N,True,False
Vina Fire,True,2013-07-04T10:30:00Z,2013-07-04T07:30:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",200,100,,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,,c94959d7-eb88-4724-8feb-ba0662afca10,https://www.fire.ca.gov/incidents/2013/7/4/vina-fire/,2013-07-04T10:30:00Z,2013-07-04,2013-07-04,N,True,False
Grant Fire,True,2013-07-04T11:30:00Z,2013-07-04T10:00:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",50,100,,CAL FIRE Santa Clara Unit,-121.5869,37.7393,,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,https://www.fire.ca.gov/incidents/2013/7/4/grant-fire/,2013-07-04T11:30:00Z,2013-07-04,2013-07-04,N,True,False
